genome,n_valid,median_shorkie,median_yorzoi,winner,alternative,p_value_one_sided,significant_0.05
human,3006,0.5968738042986654,0.6013109683990479,Yorzoi,less,8.719155215044724e-07,True
Mpneumo,1566,0.5444927364297042,0.37310731410980225,Shorkie,greater,2.071417001898867e-138,True
Mmmyco,2356,0.6217359655833963,0.4878425896167755,Shorkie,greater,0.0,True
dChr,466,0.14247672420807922,0.12010692059993744,Shorkie,greater,0.05905335278173325,False
HPRT1,192,0.5780911251761727,0.4133266806602478,Shorkie,greater,4.4607771792773067e-32,True
HPRT1R,192,0.6007014352596247,0.3459259271621704,Shorkie,greater,2.439077608620639e-28,True
