cv_fold,median_spearman,mean_spearman
0,0.19150156434617743,0.18960289934320226
1,0.4386419220095089,0.45414595445130806
2,0.6178875952055416,0.6418026000298341
3,0.4197237010393574,0.42226373002479933
4,0.4588697712695002,0.4374944304333958
Overall_Mean,0.4253249107740171,0.4290619228565079
Overall_Std,0.1364461203366279,0.14376769520095367
