cv_fold,median_spearman,mean_spearman
0,0.4476216262847851,0.4323041068888148
1,0.5019185443565501,0.4535546802792234
2,0.4339372043197607,0.3287062339157505
3,0.3377369426420507,0.2956385907995329
4,0.5676598330688929,0.5097370488292466
Overall_Mean,0.4577748301344079,0.40398813214251367
Overall_Std,0.07629389983708643,0.07981034746234167
