cv_fold,median_spearman,mean_spearman
0,0.3366354862135615,0.3494385543561544
1,0.2904019043053812,0.2915383857480114
2,0.38268464558868137,0.35373418387568084
3,0.33763188921096227,0.3239760303125489
4,0.352010674675885,0.34678141678820107
Overall_Mean,0.33987291999889424,0.33309371421611933
Overall_Std,0.029809574055422967,0.023197040641125426
