cv_fold,median_spearman,mean_spearman
0,0.5879206889150999,0.564180550343724
1,0.618597637375228,0.5671050171598626
2,0.6104811750702962,0.5713323290200398
3,0.5735177997076742,0.5195557901062962
4,0.652924823119498,0.5956285664511914
Overall_Mean,0.6086884248375592,0.5635604506162227
Overall_Std,0.027300319070823652,0.024650049774298306
