cv_fold,median_spearman,mean_spearman
0,0.7102460950944376,0.6816351705007658
1,0.6938465384717842,0.6611991362204642
2,0.7357645395015622,0.7065814185315462
3,0.6896792656461539,0.6677733499811467
4,0.7117257809299178,0.6959947770043504
Overall_Mean,0.7082524439287712,0.6826367704476547
Overall_Std,0.016281567376968443,0.016930913399499516
